subjID,wave,date,ph1,sm1_1,sm1_5,sm1_9,ax1_1,ax1_2,ax1_3,ax1_4,ax1_5,ax1_6,ax1_7,ax1_8,ax1_9,ax1_10,bf1,bf2,bf3_1,bf3_3,bf3_4,bf3_5,bf3_6,bf4,bf5,pm2,pm3,pm3a,pm4,pm5,pm7,pm7b,pm10_1,pm10_2,pm10_3,pm10_5,pm10_6,sex,age_gp,edu,wtageSG1
74,1,20090429,1,2,2,2,3,3,2,3,3,1,1,1,1,1,2,1,1,1,1,NA,2,6,3,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,6,3,1.313043773
75,1,20090429,5,2,1,1,3,2,2,1,3,2,3,1,4,1,NA,NA,1,2,1,1,1,4,3,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
76,1,20090429,1,2,2,2,2,2,2,2,3,1,1,1,1,1,4,3,1,NA,NA,1,NA,5,2,2,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,2,7,1.481328174
77,1,20090429,2,2,2,2,4,4,4,4,4,1,1,1,1,1,2,4,1,2,2,1,2,5,3,1,2,NA,4,3,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
78,1,20090429,2,2,2,2,2,1,2,2,2,1,1,2,1,1,4,1,1,1,1,1,1,2,1,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,5,3,0.511206068
79,1,20090429,1,2,2,2,4,3,3,3,3,1,1,1,NA,1,4,NA,1,1,1,NA,1,1,5,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,5,7,0.925080444
80,1,20090429,2,2,2,2,2,2,2,2,2,1,2,1,1,1,4,2,1,2,1,1,1,6,4,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,1,6,0.897544476
81,1,20090429,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,3,1,1,1,1,2,5,4,1,3,NA,4,3,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
82,1,20090429,2,2,2,2,2,2,3,3,2,2,1,1,1,1,3,4,1,1,2,1,1,5,3,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,7,1.021277087
83,1,20090429,1,2,2,2,2,3,3,4,3,1,1,1,4,1,4,1,NA,NA,NA,NA,NA,7,NA,2,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,5,4,0.925080444
84,1,20090429,3,2,2,2,4,3,3,4,3,1,1,1,4,1,4,2,NA,1,1,1,1,4,5,3,2,NA,4,4,3,NA,NA,NA,NA,NA,NA,1,6,5,1.174388183
85,1,20090429,3,2,1,2,4,3,3,3,3,1,1,1,1,1,NA,3,1,1,2,1,1,1,2,4,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
86,1,20090429,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,5,2,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
87,1,20090429,2,2,2,2,4,2,1,4,4,1,3,1,1,1,4,1,2,1,1,1,1,1,1,4,4,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,5,1,0.925080444
88,1,20090429,1,2,2,2,4,4,4,4,4,1,2,1,1,1,4,1,1,1,1,1,1,5,2,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,5,3,0.511206068
89,1,20090429,2,2,1,1,2,3,3,4,2,2,2,2,3,1,3,3,1,1,1,1,1,4,3,2,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,1,5,4,0.925080444
90,1,20090429,2,2,2,2,3,4,4,4,4,1,1,1,1,1,4,NA,1,1,1,1,NA,1,1,1,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,2,6,3,1.313043773
91,1,20090429,1,2,1,2,3,2,3,3,3,1,1,1,1,1,4,1,1,1,2,1,1,1,1,4,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,1,4,5,1.286363716
92,1,20090429,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,6,3,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,2,6,1.481328174
93,1,20090429,3,2,2,2,3,2,3,3,2,1,1,1,1,1,4,2,1,1,2,2,2,2,4,5,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,4,3,1.286363716
94,1,20090429,2,2,2,2,4,4,2,3,1,1,1,1,1,1,2,2,1,1,1,1,2,1,3,4,2,NA,2,4,1,NA,NA,NA,NA,NA,NA,2,3,3,1.021277087
95,1,20090429,3,2,1,1,3,2,3,2,3,1,2,1,1,1,NA,1,1,2,1,1,1,4,4,1,4,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,6,1,1.313043773
96,1,20090429,2,2,2,2,4,4,1,1,4,1,1,1,1,1,4,1,1,1,1,1,2,4,2,1,1,NA,1,2,4,NA,NA,NA,NA,NA,NA,2,3,7,1.021277087
97,1,20090429,1,2,2,2,2,2,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1,5,4,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
98,1,20090429,1,2,2,2,4,4,4,3,4,1,1,1,1,1,4,1,1,1,2,1,1,5,4,2,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,3,0.607403236
99,1,20090429,1,2,2,2,3,2,3,4,4,1,1,1,1,1,4,1,NA,NA,NA,2,2,1,2,4,4,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,5,1,0.925080444
100,1,20090429,3,2,2,2,1,1,1,1,1,2,2,1,1,1,3,3,1,2,1,2,2,6,2,2,1,NA,2,3,4,NA,NA,NA,NA,NA,NA,2,5,4,0.511206068
101,1,20090429,3,2,2,2,1,3,3,3,1,1,1,2,1,1,4,1,1,1,1,1,1,5,4,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,6,3,1.313043773
102,1,20090429,3,2,1,1,3,3,2,3,3,1,1,1,1,1,2,4,1,1,1,2,1,6,4,1,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,2,7,1.439584917
103,1,20090429,3,2,2,2,3,3,3,3,3,1,1,1,1,1,4,4,1,1,2,1,2,5,2,2,1,NA,4,4,2,NA,NA,NA,NA,NA,NA,2,4,4,0.607403236
104,1,20090429,3,2,2,2,3,2,2,1,2,1,1,2,1,1,2,5,1,1,1,1,1,4,3,3,2,NA,2,4,2,NA,NA,NA,NA,NA,NA,2,4,3,0.607403236
105,1,20090429,3,2,1,1,3,3,2,2,2,1,1,1,1,1,3,1,1,NA,1,1,2,1,4,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,6,NA,1.174388183
106,1,20090429,1,2,2,2,2,1,2,2,2,2,2,2,1,1,3,4,1,1,1,1,1,6,3,1,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,2,7,1.481328174
107,1,20090429,3,2,1,2,3,2,3,4,2,1,1,1,1,1,2,3,1,1,1,1,2,1,3,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
108,1,20090429,1,2,2,2,4,4,4,4,4,1,1,1,1,1,4,1,1,2,2,2,2,4,2,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,2,1.021277087
109,1,20090429,2,2,1,2,2,2,3,2,2,2,1,1,1,1,NA,3,NA,NA,NA,NA,NA,5,NA,1,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,5,4,0.925080444
110,1,20090429,2,2,2,2,2,2,3,4,4,1,1,1,1,1,3,3,1,1,2,1,2,4,4,1,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,1,5,5,0.925080444
111,1,20090429,2,2,2,2,2,1,2,2,2,3,3,2,3,1,4,5,1,1,1,1,1,5,3,1,4,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,2,6,1.439584917
112,1,20090429,3,2,1,1,2,2,2,4,2,1,1,2,2,1,3,2,1,1,2,1,2,4,2,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
113,1,20090429,1,2,2,2,3,3,3,3,3,1,1,1,2,1,3,2,1,1,1,1,2,2,2,2,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,1,4,7,1.286363716
114,1,20090429,1,2,2,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2,2,2,4,3,2,2,NA,1,4,2,NA,NA,NA,NA,NA,NA,1,3,7,1.82317159
115,1,20090429,2,2,1,2,3,3,3,3,3,1,2,1,1,1,3,2,1,1,1,1,2,6,2,1,2,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,2,7,1.439584917
116,1,20090429,2,2,2,2,2,2,2,2,2,1,1,1,2,1,4,1,1,2,2,1,2,5,1,4,4,NA,3,4,4,NA,NA,NA,NA,NA,NA,1,5,6,0.925080444
117,1,20090429,1,2,2,2,3,3,3,3,3,1,1,1,1,1,2,4,1,1,1,1,1,4,2,1,1,NA,2,3,4,NA,NA,NA,NA,NA,NA,1,5,7,0.925080444
118,1,20090429,2,2,2,2,3,3,3,2,3,2,1,1,1,1,3,3,1,1,1,1,1,5,4,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,3,5,1.021277087
119,1,20090429,1,2,2,2,3,3,4,4,3,1,2,1,2,2,3,3,1,2,1,1,2,5,4,2,1,NA,1,4,1,NA,NA,NA,NA,NA,NA,1,1,6,0.91593989
120,1,20090429,2,NA,2,2,4,2,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,5,3,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,4,7,0.607403236
121,1,20090429,2,2,2,2,1,1,2,1,2,1,2,2,1,1,2,3,1,1,1,2,2,4,2,1,1,NA,1,4,1,NA,NA,NA,NA,NA,NA,2,4,5,0.607403236
122,1,20090429,1,2,2,2,2,2,2,3,2,1,1,1,1,1,2,4,1,2,1,1,1,1,5,2,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,1,4,7,1.286363716
123,1,20090429,5,2,2,2,1,1,2,1,1,3,1,4,3,3,3,4,1,1,NA,1,2,6,1,1,2,NA,3,4,4,NA,NA,NA,NA,NA,NA,2,6,3,1.313043773
124,1,20090429,2,2,2,2,2,3,2,2,2,2,2,1,2,1,4,1,1,2,1,2,2,3,3,1,2,NA,2,4,4,NA,NA,NA,NA,NA,NA,2,5,4,0.511206068
125,1,20090429,1,2,2,2,3,1,4,4,4,1,1,1,3,1,2,4,1,1,1,1,2,6,5,1,1,NA,4,4,1,NA,NA,NA,NA,NA,NA,2,2,7,1.439584917
126,1,20090429,1,2,2,1,2,2,2,1,2,2,2,2,2,1,3,4,1,2,2,2,1,7,4,1,1,NA,1,4,3,NA,NA,NA,NA,NA,NA,2,3,4,1.021277087
127,1,20090429,4,2,2,2,2,2,3,2,2,2,2,1,1,1,3,2,1,2,1,1,1,5,4,1,1,NA,1,3,4,NA,NA,NA,NA,NA,NA,2,4,7,0.607403236
128,1,20090429,2,2,2,2,3,3,3,3,3,1,1,1,1,1,4,2,1,NA,NA,1,NA,5,3,1,1,NA,1,4,4,NA,NA,NA,NA,NA,NA,2,5,5,0.511206068
129,1,20090429,3,2,1,1,2,2,1,2,2,1,2,2,2,2,NA,2,1,1,1,1,1,4,3,1,1,NA,2,4,1,NA,NA,NA,NA,NA,NA,2,1,6,0.897544476
130,1,20090429,3,2,2,1,2,2,2,2,2,1,1,2,1,2,3,3,1,2,2,1,1,5,2,1,4,NA,3,4,3,NA,NA,NA,NA,NA,NA,2,1,7,0.897544476
